Date,adj_close
2021-01-31,77.12333679199219
2021-02-28,77.07869720458984
2021-03-31,77.03581237792969
2021-04-30,77.07958984375
2021-05-31,77.12606048583984
2021-06-30,76.9937973022461
2021-07-31,77.12162780761719
2021-08-31,77.09660339355469
2021-09-30,77.01880645751953
2021-10-31,76.7603988647461
2021-11-30,76.71658325195312
2021-12-31,76.55374908447266
2022-01-31,76.02571868896484
2022-02-28,75.69718170166016
2022-03-31,74.6360855102539
2022-04-30,74.26519012451172
2022-05-31,74.70796203613281
2022-06-30,74.26396179199219
2022-07-31,74.5683364868164
2022-08-31,73.96431732177734
2022-09-30,73.08238220214844
2022-10-31,72.9905014038086
2022-11-30,73.49688720703125
2022-12-31,73.58338165283203
