w,var_V_next
0.0,0.0
0.01,0.0017291973593987337
0.02,0.006916789437594935
0.03,0.015562776234588602
0.04,0.02766715775037974
0.05,0.04322993398496835
0.06,0.06225110493835441
0.07,0.08473067061053796
0.08,0.11066863100151896
0.09,0.14006498611129742
0.1,0.1729197359398734
0.11,0.20923288048724678
0.12,0.24900441975341764
0.13,0.292234353738386
0.14,0.33892268244215185
0.15,0.38906940586471506
0.16,0.4426745240060758
0.17,0.49973803686623414
0.18,0.5602599444451897
0.19,0.6242402467429429
0.2,0.6916789437594936
0.21,0.7625760354948414
0.22,0.8369315219489871
0.23,0.9147454031219301
0.24,0.9960176790136706
0.25,1.0807483496242085
0.26,1.168937414953544
0.27,1.260584875001677
0.28,1.3556907297686074
0.29,1.454254979254335
0.3,1.5562776234588602
0.31,1.661758662382183
0.32,1.7706980960243033
0.33,1.883095924385221
0.34,1.9989521474649365
0.35000000000000003,2.1182667652634493
0.36,2.2410397777807587
0.37,2.3672711850168664
0.38,2.4969609869717715
0.39,2.6301091836454744
0.4,2.7667157750379743
0.41000000000000003,2.9067807611492715
0.42,3.0503041419793657
0.43,3.197285917528258
0.44,3.3477260877959485
0.45,3.501624652782436
0.46,3.6589816124877204
0.47000000000000003,3.8197969669118033
0.48,3.984070716054682
0.49,4.1518028599163594
0.5,4.322993398496834
0.51,4.497642331796106
0.52,4.675749659814176
0.53,4.857315382551044
0.54,5.042339500006708
0.55,5.23082201218117
0.56,5.4227629190744295
0.5700000000000001,5.618162220686488
0.58,5.81701991701734
0.59,6.0193360080669915
0.6,6.225110493835441
0.61,6.434343374322688
0.62,6.647034649528732
0.63,6.863184319453575
0.64,7.082792384097213
0.65,7.305858843459649
0.66,7.532383697540884
0.67,7.762366946340917
0.68,7.995808589859746
0.6900000000000001,8.232708628097372
0.7000000000000001,8.473067061053797
0.71,8.716883888729017
0.72,8.964159111123035
0.73,9.214892728235851
0.74,9.469084740067466
0.75,9.726735146617877
0.76,9.987843947887086
0.77,10.252411143875092
0.78,10.520436734581898
0.79,10.791920720007498
0.8,11.066863100151897
0.81,11.345263875015092
0.8200000000000001,11.627123044597086
0.8300000000000001,11.912440608897878
0.84,12.201216567917463
0.85,12.49345092165585
0.86,12.789143670113033
0.87,13.088294813289016
0.88,13.390904351183794
0.89,13.69697228379737
0.9,14.006498611129745
0.91,14.319483333180914
0.92,14.635926449950881
0.93,14.95582796143965
0.9400000000000001,15.279187867647213
0.9500000000000001,15.606006168573572
0.96,15.936282864218729
0.97,16.270017954582684
0.98,16.607211439665438
0.99,16.94786331946699
1.0,17.291973593987336
